Origin,Season,Baking,Variety,MOISTURE,T-N,TFAA,THEANINE,NDF-ASH,TANNIN,CATECHIN,CAFFEINE,T.V.C
O1,S1,,V1,0.0405,0.0385,0.0085,0.0025,0.2610,0.1770,0.1765,0.0240,0.0025
O1,S1,,V1,0.0350,0.0380,0.0070,0.0015,0.2615,0.1825,0.1785,0.0230,0.0029
O1,S1,,V2,0.0190,0.0350,0.0105,0.0035,0.2975,0.1385,0.1470,0.0175,0.0029
O1,S1,,V3,0.0295,0.0410,0.0160,0.0075,0.2735,0.1420,0.1490,0.0275,0.0011
O1,S1,,V1,0.0310,0.0395,0.0155,0.0075,0.2770,0.1395,0.1500,0.0225,0.0016
O1,S1,,V3,0.0185,0.0380,0.0130,0.0050,0.2765,0.1440,0.1500,0.0240,0.0013
O1,S1,,V3,0.0195,0.0390,0.0140,0.0060,0.2775,0.1400,0.1485,0.0255,0.0010
O1,S1,,V3,0.0250,0.0385,0.0175,0.0090,0.2860,0.1240,0.1385,0.0195,0.0021
O1,S1,,V2,0.0190,0.0390,0.0160,0.0075,0.2780,0.1335,0.1435,0.0235,0.0016
O1,S1,,V3,0.0135,0.0375,0.0165,0.0075,0.2740,0.1335,0.1415,0.0200,0.0025
O1,S1,,V3,0.0180,0.0370,0.0175,0.0085,0.2820,0.1245,0.1380,0.0195,0.0026
O1,S1,,V3,0.0135,0.0370,0.0195,0.0100,0.2765,0.1175,0.1340,0.0215,0.0018
O2,S1,,,0.0420,0.0390,0.0120,0.0045,0.2520,0.1735,0.1705,0.0265,0.0028
O2,S1,,,0.0350,0.0375,0.0105,0.0035,0.2510,0.1675,0.1715,0.0250,0.0026
O2,S1,,V3,0.0200,0.0380,0.0175,0.0085,0.2685,0.1360,0.1450,0.0230,0.0020
O2,S1,,V3,0.0195,0.0370,0.0145,0.0065,0.2730,0.1345,0.1465,0.0220,0.0018
O3,S1,,V4,0.0140,0.0380,0.0055,0.0000,0.2430,0.1855,0.1815,0.0300,0.0018
O3,S1,,,0.0225,0.0385,0.0055,0.0005,0.2470,0.1790,0.1760,0.0275,0.0024
O3,S1,,V4,0.0165,0.0405,0.0140,0.0055,0.2515,0.1605,0.1615,0.0270,0.0017
O3,S1,,V2,0.0260,0.0410,0.0170,0.0080,0.2625,0.1510,0.1520,0.0230,0.0026
O4,S1,,V2,0.0260,0.0410,0.0135,0.0055,0.2600,0.1575,0.1605,0.0205,0.0027
O4,S1,,V1,0.0235,0.0390,0.0115,0.0040,0.2615,0.1655,0.1645,0.0205,0.0029
O4,S1,,V4,0.0275,0.0385,0.0055,0.0005,0.2470,0.1860,0.1820,0.0250,0.0030
O4,S1,,V2,0.0230,0.0395,0.0100,0.0030,0.2470,0.1735,0.1735,0.0255,0.0025
O4,S1,,V4,0.0250,0.0400,0.0080,0.0020,0.2450,0.1760,0.1770,0.0330,0.0011
O4,S1,,V4,0.0220,0.0385,0.0060,0.0010,0.2445,0.1770,0.1795,0.0290,0.0017
O4,S1,,,0.0320,0.0385,0.0110,0.0040,0.2560,0.1655,0.1690,0.0275,0.0020
O4,S1,,V2,0.0150,0.0375,0.0140,0.0060,0.2760,0.1445,0.1525,0.0175,0.0026
O4,S1,,V2,0.0220,0.0370,0.0135,0.0060,0.2760,0.1435,0.1525,0.0165,0.0031
O4,S1,,,0.0275,0.0380,0.0145,0.0065,0.2660,0.1450,0.1520,0.0245,0.0019
O4,S1,,,0.0290,0.0375,0.0155,0.0075,0.2725,0.1340,0.1475,0.0220,0.0020
O5,S1,,V2,0.0430,0.0405,0.0145,0.0060,0.2650,0.1565,0.1565,0.0225,0.0030
O5,S1,,V2,0.0450,0.0405,0.0190,0.0095,0.2750,0.1385,0.1430,0.0205,0.0029
O5,S1,,V2,0.0380,0.0380,0.0170,0.0080,0.2765,0.1390,0.1460,0.0215,0.0027
O5,S1,,V2,0.0475,0.0405,0.0215,0.0105,0.2705,0.1395,0.1435,0.0200,0.0038
O5,S1,,V3,0.0355,0.0370,0.0175,0.0085,0.2780,0.1290,0.1410,0.0215,0.0026
